mustang,george,howell,rear,ford
mission,shuttle,hst,solar,pat
space,long,world,such,sci
edu,gif,uci,ics,incoming
car,ford,drive,manual,sho
edu,system,oort,david,ray
station,option,launch,redesign,capability
engine,power,used,turbo,time
oil,service,come,cars,edu
cars,toyota,air,torque,diesels
sky,people,light,lights,rights
edu,writes,article,use,apr
insurance,money,want,good,geico
henry,toronto,spencer,zoo,svr
nasa,science,internet,gov,spacecraft
edu,article,writes,etc,don
even,bill,point,high,large
car,don,clutch,shifter,dealer
earth,moon,bright,low,news
find,cost,want,years,interested
